"order_id","parent_id","parent_ids","symbol","side","order_time","price","size","pnl_usd","total_fees_usd","trigger","order_type","status","source","cost_basis_usd","sale_proceeds_usd","net_sale_proceeds_usd","remaining_size","realized_profit"
"5efee53f-d831-4e07-834c-8ab6e8f4243e","5efee53f-d831-4e07-834c-8ab6e8f4243e","{5efee53f-d831-4e07-834c-8ab6e8f4243e}","MAGIC-USD","buy","2025-08-09 14:11:57.819771+00","0.2876","174.88",NULL,"0.075443232","{""trigger"": ""Limit""}",NULL,"filled","websocket",NULL,NULL,NULL,"174.88",NULL
"e145aea5-bfb0-44c5-9af3-fb34a9e4c632","5efee53f-d831-4e07-834c-8ab6e8f4243e",NULL,"MAGIC-USD","sell","2025-08-09 14:11:45.988519+00","0.2842","174.88",NULL,"0.12425224","{""trigger"": ""TAKE_PROFIT_STOP_LOSS""}",NULL,"filled","reconciled",NULL,NULL,NULL,NULL,NULL
"70a4646d-5edb-4dc2-ac82-117493193a50","70a4646d-5edb-4dc2-ac82-117493193a50","{70a4646d-5edb-4dc2-ac82-117493193a50}","MAGIC-USD","buy","2025-08-09 05:33:53.581551+00","0.2584","194.02",NULL,"0.075202152","{""trigger"": ""Limit""}",NULL,"filled","websocket",NULL,NULL,NULL,"0",NULL
"baaa3fd0-eee6-42d1-bebc-4d5d6879d7f4","60f93d62-8ed6-4f8b-9c29-e3185a00c0d5","{60f93d62-8ed6-4f8b-9c29-e3185a00c0d5,27e28174-7fb4-4cee-ad47-b82f26b2d6fb}","MAGIC-USD","sell","2025-08-09 05:32:29.861133+00","0.2659","194.02","1.5542","0.077384877","{""trigger"": ""TAKE_PROFIT_STOP_LOSS""}",NULL,"filled","reconciled","49.9582","51.5899","51.5125",NULL,"1.5542"
"f4e3d20a-4b62-4b70-9e45-3e9408e641bc","27e28174-7fb4-4cee-ad47-b82f26b2d6fb","{27e28174-7fb4-4cee-ad47-b82f26b2d6fb}","MAGIC-USD","sell","2025-08-08 16:27:24.948426+00","0.2583","190.69","-0.8006","0.1231380675","{""trigger"": ""TAKE_PROFIT_STOP_LOSS""}",NULL,"filled","reconciled","49.9327","49.2552","49.132",NULL,"-0.8006"
"27e28174-7fb4-4cee-ad47-b82f26b2d6fb","27e28174-7fb4-4cee-ad47-b82f26b2d6fb","{27e28174-7fb4-4cee-ad47-b82f26b2d6fb}","MAGIC-USD","buy","2025-08-08 16:27:24.793258+00","0.2612","190.69",NULL,"0.12452057","{""trigger"": ""LIMIT""}",NULL,"filled","reconciled",NULL,NULL,NULL,"0",NULL
"4c1c4d6b-2243-4e5d-8979-7f1d89794968","60f93d62-8ed6-4f8b-9c29-e3185a00c0d5","{60f93d62-8ed6-4f8b-9c29-e3185a00c0d5}","MAGIC-USD","sell","2025-08-08 15:01:57.61144+00","0.2537","194.02","-0.8186","0.123057185","{""trigger"": ""TAKE_PROFIT_STOP_LOSS""}",NULL,"filled","reconciled","49.9185","49.2228","49.0998",NULL,"-0.8186"
"60f93d62-8ed6-4f8b-9c29-e3185a00c0d5","60f93d62-8ed6-4f8b-9c29-e3185a00c0d5","{60f93d62-8ed6-4f8b-9c29-e3185a00c0d5}","MAGIC-USD","buy","2025-08-08 15:01:42.852985+00","0.2569","194.02",NULL,"0.074765607","{""trigger"": ""LIMIT""}",NULL,"filled","reconciled",NULL,NULL,NULL,"0",NULL
"c72e1bf9-9bd0-4540-9357-bfc4fde86f22","d53971fc-4772-4842-9188-b4814a584808","{d53971fc-4772-4842-9188-b4814a584808}","MAGIC-USD","sell","2025-08-08 14:47:51.494024+00","0.2661","185.32","-0.7911","0.12328413","{""trigger"": ""TAKE_PROFIT_STOP_LOSS""}",NULL,"filled","reconciled","49.9815","49.3136","49.1903",NULL,"-0.7911"
"d53971fc-4772-4842-9188-b4814a584808","d53971fc-4772-4842-9188-b4814a584808","{d53971fc-4772-4842-9188-b4814a584808}","MAGIC-USD","buy","2025-08-08 14:47:39.768018+00","0.2693","185.32",NULL,"0.074860014","{""trigger"": ""LIMIT""}",NULL,"filled","reconciled",NULL,NULL,NULL,"0",NULL
